district_id,pcode,educgengap2018,educgengap2015,educgengap2011,educgengap2008,educgengap2000,educgengap1990,educgengap1985
Belen,TUR031004,.124059018367961,.140953123984136,.14935593220339,.222876427084081,.0807783844323114,.132371061432846,.
Defne,TUR031005,.0950428867971331,.1044797039695,.,.,.,.,.
Dortyol,TUR031006,.14219216296873,.170580649540164,.181143181143181,.487324746020192,.127302941693431,.22529178512644,.248206248776988
Erzin,TUR031007,.17365385547424,.207806112517033,.221913457721318,.204061846200949,.119458485852071,.144354454502144,.
Hassa,TUR031008,.275151603711551,.289790357980776,.293770885743251,.197652826264577,.138877882558047,.181633688483004,.20072879171666
Iskenderun,TUR031009,.128299709942395,.143655981081259,.157481163905731,.190398479486171,.115031192041814,.15007758466085,.178594171337825
Kirikhan,TUR031010,.200426327468419,.230564587644103,.237751358826128,.160132197588181,.128746869192858,.1658984375,.171168465075441
Kumlu,TUR031011,.339198580511607,.315682915433733,.248134885108923,.136357091432685,.16105561721544,.201966619226291,.
Payas,TUR031012,.132324864150389,.147213196700825,.,.,.,.,.
Reyhanli,TUR031013,.219555990858635,.271790685874385,.27266550404276,.155665001633911,.147054135897572,.208127419811766,.229554986020503
Samandag,TUR031014,.0996884234870872,.112764136659864,.142435312024353,.120307630285457,.0245162203275905,.074931822055565,.0911559888579387
Yayladagi,TUR031015,.402493960958412,.293599080107321,.267428890128277,.170308898109728,.235598902773545,.17582332429291,.157547892720307
Aksu,TUR032001,.361247216035635,.35,.381162324649299,.213838792786161,.245777777777778,.129158917131639,.
Atabey,TUR032002,.139029688631427,.172228202368138,.136088709677419,.20596821277976,.237160385626643,.0432516935904117,.0805645398412232
Egridir,TUR032003,.165376141013535,.181055900621118,.188226134866451,.27004890695893,.269961571306576,.260542797494781,.254715270221255
Gelendost,TUR032004,.14692730292577,.15343653250774,.164404399719167,.121480289621883,.211465810351341,.136601079575135,.112705110173465
Gonen,TUR032005,.157937806873977,.181719848566793,.157671164417791,.20921825576141,.364410270492929,.164894609214699,.
Merkez32,TUR032006,.0446711058080905,.0664273956795466,.0960453573682178,.234952427620564,.211467953483098,.225403284406336,.246391366514605
Keciborlu,TUR032007,.160067873303167,.140286240612158,.123374063854947,.181199752628324,.136127530001791,.0660726799479427,.070777027027027
Senirkent,TUR032008,.222405816259088,.25727923627685,.299984631934839,.284485360700272,.13992,.0989697412184635,.100992907801418
Sutculer,TUR032009,.387102874432678,.386874546773024,.340346742972564,.168363351605325,.134034576129973,.0827598222841711,.0786672836649699
Sarkikaraagac,TUR032010,.169948266543124,.169365359527281,.156728270285879,.14545821015856,.11137162954279,.156979188564221,.0686454398273071
Uluborlu,TUR032011,.0857499220455254,.180539273153576,.229178800232964,.376584022038567,.263902932254803,.128723218951402,.0492827394724665
Yalvac,TUR032012,.143073811931244,.171166351140012,.1684202558474,.162505674080799,.157549189519829,.182203288418735,.203699860662299
Yenisarbademli,TUR032013,.172687224669604,.248817407757805,.207075064710958,.16640625,.0951058660187435,.184859154929577,.
Akdeniz,TUR033001,.228683269114391,.242626508889814,.221126266925118,.178017046737413,.,.,.
Anamur,TUR033002,.141476923076923,.144706178749134,.151074528392531,.178859964093357,.145161690616236,.165922104070975,.21120072359991
AydincikM,TUR033003,.180800293685756,.19531393007505,.182543906333156,.154235807860262,.102398039558901,.207184945827789,.
Bozyazi,TUR033004,.159585647800631,.171922377198302,.172571685933043,.172892209178228,.151395370987713,.109836788707543,.
Camliyayla,TUR033005,.266334046091708,.28564500484966,.265079011796127,.195149677908299,.147039827771798,.132034834722352,.
Erdemli,TUR033006,.0899407609933926,.106869431551927,.118355787134832,.168571886007045,.118875061357665,.152571766674148,.154008875399508
Gulnar,TUR033007,.166146402372405,.175523981474213,.163340563991323,.152329983030936,.103758850478967,.0758414015675426,.0949433304272014
Mezitli,TUR033008,.0111180676172396,.0274394431979486,.0303030303030303,.224534993821316,.,.,.
